probe_id,GSM178746,GSM180372,GSM180373,GSM180374,GSM180375,GSM180376,GSM180377,GSM180378,GSM180379,GSM180380,GSM180381,GSM180382,GSM180383,GSM180384,GSM180385,GSM180386,GSM180387,GSM180388,GSM180389,GSM180390
204520_x_at,5929.08,2580.08,1219.06,1264.42,598.008,878.039,323.785,4715.12,149.454,2009.86,774.672,870.749,467.56,1080.31,3507.63,394.456,8567.68,283.8,289.724,325.524
204521_at,5454.58,3654.61,4098.9,2399.91,592.664,1356.66,664.586,406.241,745.385,781.451,8301.35,4178.79,439.817,1531.21,3702.99,4108.02,1618.9,528.669,1517.63,968.643
204522_at,4790.8,6371.04,254.565,844.909,485.409,3887.88,7125.71,258.524,1123.95,4898.48,695.837,1046.4,623.428,746.124,320.394,6006.08,607.372,5950.3,5159.85,3251.63
204523_at,1036.89,404.712,425.084,402.102,1187.99,331.753,188.345,1638.14,3182.76,4445,1860.45,4644.88,270.302,3174.13,301.848,555.089,2411.65,5218.08,904.319,3109.32
204524_at,136.679,1048.1,2354.6,2322.84,6334.23,7757.92,7441.67,6991.8,424.113,1847.46,804.2,6406.47,4445.5,864.385,432.986,655.417,6942.69,3112,5145.48,3401.01
204525_at,649.802,1588.59,669.965,834.863,2583.5,193.736,6350,234.001,151.123,2935.78,3949.51,106.872,133.418,1687.27,237.278,267.228,1477.44,401.067,238.174,710.079
204526_s_at,8746.3,2535.78,582.43,283.792,554.07,3038.39,6849.64,5922.22,347.533,5119.82,957.838,2173.04,9015.98,3469.54,6784.06,1335.04,5775.75,8679,375.744,847.278
204527_at,495.145,1271.3,731.895,2732.99,6458.92,399.753,206.955,334.161,804.995,3803.02,2276.04,9155.77,3136.66,3189.43,571.213,559.942,2175.84,1397.89,239.306,3527.63
204528_s_at,1113.89,4444.73,675.849,493.65,11603.2,543.85,10922.4,1580.22,9109.17,11551.2,258.489,8581.98,4208.63,188.009,2018.15,5115.13,3848.29,500.651,8687.15,4644.88
204529_s_at,533.596,312.463,9366.55,6667.08,3335.12,630.152,727.439,3275.74,5733.41,4629.98,2220.23,1145.82,685.855,5021.23,3793.8,4963.36,386.449,633.616,2692.07,253.516
