logFC,AveExpr,t,P.Value,adj.P.Val,B,probe_id
3295.6357,4160.89015,3.71093715264735,0.00128969869691519,0.708582096822891,-4.59504744379418,212782_x_at
4730.0479,4503.96405,3.70971609819349,0.00129344951638512,0.708582096822891,-4.59504747633531,202510_s_at
8736.5622,8538.5279,3.70660548186499,0.00130305343853104,0.708582096822891,-4.59504755926143,221654_s_at
4230.6532,3652.1187,3.70247779109013,0.0013159063889144,0.708582096822891,-4.59504766936407,1565975_at
-3183.0493,2379.18115,-3.70144927826325,0.00131912845107461,0.708582096822891,-4.59504769680982,217648_at
-3031.37,2149.0885,-3.70091649336585,0.00132080058995456,0.708582096822891,-4.59504771102885,215558_at
13083.2297,11851.71515,3.69912440268,0.00132644042501904,0.708582096822891,-4.59504775886506,208919_s_at
2391.6785,1910.98455,3.69794353798832,0.00133016968349433,0.708582096822891,-4.59504779039313,229423_at
4012.8747,4480.03165,3.69646019164856,0.00133486887924568,0.708582096822891,-4.59504783000541,1555978_s_at
5297.227,6830.4998,3.69222570685736,0.00134837399741654,0.708868733737974,-4.59504794313614,204480_s_at
4465.6408,3716.2461,3.67845095005732,0.00139324621433257,0.716556339799778,-4.59504831166268,228891_at
-4307.6163,4158.82685,-3.67523307100248,0.00140393928342979,0.716556339799778,-4.5950483978657,1562878_at
3662.8464,3557.8017,3.67390655585508,0.00140837086078319,0.716556339799778,-4.59504843341379,206967_at
8782.1071,7915.17245,3.6713955928704,0.0014167972384468,0.716556339799778,-4.59504850072261,202086_at
-3850.0555,3785.81505,-3.66621705374208,0.00143433300227786,0.716556339799778,-4.59504863961999,228716_at
15972.9265,13181.80975,3.66408012850715,0.00144163141066256,0.716556339799778,-4.595048696968,219863_at
3048.2364,2519.1799,3.65492467569632,0.00147331778330825,0.717280984208475,-4.59504894288095,207002_s_at
-2397.4026,1655.7184,-3.65348614270038,0.00147835851563841,0.717280984208475,-4.59504898155057,1557871_at
6344.9695,5034.21625,3.65232311337812,0.00148244629566635,0.717280984208475,-4.59504901282044,242961_x_at
3428.3167,3094.26335,3.63554327517464,0.00154267926059704,0.725693587215955,-4.59504946458223,1558487_a_at
-3094.3842,2369.1302,-3.63207895280249,0.00155541209973798,0.725693587215955,-4.59504955799324,206297_at
-3232.8581,3491.93805,-3.62277445910924,0.0015901250575403,0.725693587215955,-4.59504980911533,215772_x_at
3088.1983,2707.96495,3.6193744808616,0.00160299916841706,0.725693587215955,-4.59504990096487,217600_at
