probe_id,present_fraction,absent_fraction,filter_status
1552674_at,NA,NA,N/A_series_matrix_already_processed
1552675_at,NA,NA,N/A_series_matrix_already_processed
1552676_at,NA,NA,N/A_series_matrix_already_processed
1552677_a_at,NA,NA,N/A_series_matrix_already_processed
1552678_a_at,NA,NA,N/A_series_matrix_already_processed
1552680_a_at,NA,NA,N/A_series_matrix_already_processed
1552682_a_at,NA,NA,N/A_series_matrix_already_processed
1552684_a_at,NA,NA,N/A_series_matrix_already_processed
1552685_a_at,NA,NA,N/A_series_matrix_already_processed
1552686_at,NA,NA,N/A_series_matrix_already_processed
1552687_a_at,NA,NA,N/A_series_matrix_already_processed
1552689_at,NA,NA,N/A_series_matrix_already_processed
1552690_a_at,NA,NA,N/A_series_matrix_already_processed
1552691_at,NA,NA,N/A_series_matrix_already_processed
1552693_at,NA,NA,N/A_series_matrix_already_processed
1552694_at,NA,NA,N/A_series_matrix_already_processed
1552695_a_at,NA,NA,N/A_series_matrix_already_processed
1552696_at,NA,NA,N/A_series_matrix_already_processed
1552698_at,NA,NA,N/A_series_matrix_already_processed
1552701_a_at,NA,NA,N/A_series_matrix_already_processed
1552703_s_at,NA,NA,N/A_series_matrix_already_processed
1552705_at,NA,NA,N/A_series_matrix_already_processed
1552708_a_at,NA,NA,N/A_series_matrix_already_processed
1552711_a_at,NA,NA,N/A_series_matrix_already_processed
1552712_a_at,NA,NA,N/A_series_matrix_already_processed
1552713_a_at,NA,NA,N/A_series_matrix_already_processed
1552714_at,NA,NA,N/A_series_matrix_already_processed
1552715_a_at,NA,NA,N/A_series_matrix_already_processed
1552716_at,NA,NA,N/A_series_matrix_already_processed
1552717_s_at,NA,NA,N/A_series_matrix_already_processed
1552718_at,NA,NA,N/A_series_matrix_already_processed
1552719_at,NA,NA,N/A_series_matrix_already_processed
1552721_a_at,NA,NA,N/A_series_matrix_already_processed
1552722_at,NA,NA,N/A_series_matrix_already_processed
1552724_at,NA,NA,N/A_series_matrix_already_processed
1552725_s_at,NA,NA,N/A_series_matrix_already_processed
1552726_at,NA,NA,N/A_series_matrix_already_processed
1552727_s_at,NA,NA,N/A_series_matrix_already_processed
1552729_at,NA,NA,N/A_series_matrix_already_processed
1552730_at,NA,NA,N/A_series_matrix_already_processed
1552731_at,NA,NA,N/A_series_matrix_already_processed
